Unnamed: 0,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2839,2020/03/23 08:00:00,2020-03-23T08:00:00,"{'bid': 1490.29, 'ask': 1490.88, 'lastTraded': None}","{'bid': 1492.27, 'ask': 1492.77, 'lastTraded': None}","{'bid': 1494.23, 'ask': 1495.05, 'lastTraded': None}","{'bid': 1486.04, 'ask': 1486.84, 'lastTraded': None}",14828
2840,2020/03/23 10:00:00,2020-03-23T10:00:00,"{'bid': 1492.3, 'ask': 1492.8, 'lastTraded': None}","{'bid': 1494.24, 'ask': 1494.74, 'lastTraded': None}","{'bid': 1495.41, 'ask': 1495.83, 'lastTraded': None}","{'bid': 1490.67, 'ask': 1491.38, 'lastTraded': None}",13878
2841,2020/03/23 12:00:00,2020-03-23T12:00:00,"{'bid': 1494.13, 'ask': 1494.63, 'lastTraded': None}","{'bid': 1528.28, 'ask': 1528.78, 'lastTraded': None}","{'bid': 1528.97, 'ask': 1529.81, 'lastTraded': None}","{'bid': 1494.13, 'ask': 1494.63, 'lastTraded': None}",26838
2842,2020/03/23 14:00:00,2020-03-23T14:00:00,"{'bid': 1528.3, 'ask': 1528.8, 'lastTraded': None}","{'bid': 1542.65, 'ask': 1543.15, 'lastTraded': None}","{'bid': 1544.0, 'ask': 1544.73, 'lastTraded': None}","{'bid': 1520.07, 'ask': 1521.01, 'lastTraded': None}",26444
2843,2020/03/23 16:00:00,2020-03-23T16:00:00,"{'bid': 1542.45, 'ask': 1543.31, 'lastTraded': None}","{'bid': 1559.08, 'ask': 1560.24, 'lastTraded': None}","{'bid': 1561.17, 'ask': 1562.0, 'lastTraded': None}","{'bid': 1540.1, 'ask': 1541.05, 'lastTraded': None}",26090
2844,2020/03/23 18:00:00,2020-03-23T18:00:00,"{'bid': 1559.16, 'ask': 1560.23, 'lastTraded': None}","{'bid': 1553.62, 'ask': 1554.12, 'lastTraded': None}","{'bid': 1560.25, 'ask': 1560.99, 'lastTraded': None}","{'bid': 1545.32, 'ask': 1546.32, 'lastTraded': None}",18986
2845,2020/03/23 20:00:00,2020-03-23T20:00:00,"{'bid': 1553.74, 'ask': 1554.04, 'lastTraded': None}","{'bid': 1551.37, 'ask': 1553.37, 'lastTraded': None}","{'bid': 1554.69, 'ask': 1555.84, 'lastTraded': None}","{'bid': 1550.39, 'ask': 1551.41, 'lastTraded': None}",3864
2846,2020/03/23 22:00:00,2020-03-23T22:00:00,"{'bid': 1552.92, 'ask': 1554.92, 'lastTraded': None}","{'bid': 1566.7, 'ask': 1567.59, 'lastTraded': None}","{'bid': 1567.43, 'ask': 1568.96, 'lastTraded': None}","{'bid': 1552.5, 'ask': 1553.91, 'lastTraded': None}",9538
2847,2020/03/24 00:00:00,2020-03-24T00:00:00,"{'bid': 1566.19, 'ask': 1567.97, 'lastTraded': None}","{'bid': 1572.14, 'ask': 1574.14, 'lastTraded': None}","{'bid': 1582.12, 'ask': 1584.12, 'lastTraded': None}","{'bid': 1559.88, 'ask': 1561.23, 'lastTraded': None}",18045
2848,2020/03/24 02:00:00,2020-03-24T02:00:00,"{'bid': 1571.98, 'ask': 1573.98, 'lastTraded': None}","{'bid': 1571.28, 'ask': 1573.28, 'lastTraded': None}","{'bid': 1584.32, 'ask': 1585.57, 'lastTraded': None}","{'bid': 1568.14, 'ask': 1570.14, 'lastTraded': None}",12259
2849,2020/03/24 04:00:00,2020-03-24T04:00:00,"{'bid': 1571.29, 'ask': 1573.29, 'lastTraded': None}","{'bid': 1562.7, 'ask': 1564.7, 'lastTraded': None}","{'bid': 1577.75, 'ask': 1579.75, 'lastTraded': None}","{'bid': 1558.54, 'ask': 1560.54, 'lastTraded': None}",10322
