,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
31,2019/05/01 10:00:00,2019-05-01T09:00:00,"{'bid': 1.12279, 'ask': 1.12285, 'lastTraded': None}","{'bid': 1.12362, 'ask': 1.12368, 'lastTraded': None}","{'bid': 1.12394, 'ask': 1.124, 'lastTraded': None}","{'bid': 1.12277, 'ask': 1.12283, 'lastTraded': None}",8347
32,2019/05/01 12:00:00,2019-05-01T11:00:00,"{'bid': 1.12363, 'ask': 1.12369, 'lastTraded': None}","{'bid': 1.12242, 'ask': 1.12248, 'lastTraded': None}","{'bid': 1.12371, 'ask': 1.12381, 'lastTraded': None}","{'bid': 1.12213, 'ask': 1.12222, 'lastTraded': None}",14251
33,2019/05/01 14:00:00,2019-05-01T13:00:00,"{'bid': 1.12241, 'ask': 1.12247, 'lastTraded': None}","{'bid': 1.12399, 'ask': 1.12405, 'lastTraded': None}","{'bid': 1.12477, 'ask': 1.12486, 'lastTraded': None}","{'bid': 1.12227, 'ask': 1.12233, 'lastTraded': None}",20034
34,2019/05/01 16:00:00,2019-05-01T15:00:00,"{'bid': 1.124, 'ask': 1.12406, 'lastTraded': None}","{'bid': 1.12418, 'ask': 1.12424, 'lastTraded': None}","{'bid': 1.12497, 'ask': 1.12504, 'lastTraded': None}","{'bid': 1.12397, 'ask': 1.12403, 'lastTraded': None}",10564
35,2019/05/01 18:00:00,2019-05-01T17:00:00,"{'bid': 1.12419, 'ask': 1.12425, 'lastTraded': None}","{'bid': 1.11941, 'ask': 1.11947, 'lastTraded': None}","{'bid': 1.12646, 'ask': 1.12655, 'lastTraded': None}","{'bid': 1.11934, 'ask': 1.11945, 'lastTraded': None}",29788
36,2019/05/01 20:00:00,2019-05-01T19:00:00,"{'bid': 1.1194, 'ask': 1.11946, 'lastTraded': None}","{'bid': 1.11951, 'ask': 1.11966, 'lastTraded': None}","{'bid': 1.12002, 'ask': 1.12011, 'lastTraded': None}","{'bid': 1.11869, 'ask': 1.11876, 'lastTraded': None}",16524
37,2019/05/01 22:00:00,2019-05-01T21:00:00,"{'bid': 1.11952, 'ask': 1.11967, 'lastTraded': None}","{'bid': 1.12031, 'ask': 1.12037, 'lastTraded': None}","{'bid': 1.12033, 'ask': 1.12044, 'lastTraded': None}","{'bid': 1.11932, 'ask': 1.11949, 'lastTraded': None}",5685
38,2019/05/02 00:00:00,2019-05-01T23:00:00,"{'bid': 1.1203, 'ask': 1.12036, 'lastTraded': None}","{'bid': 1.12058, 'ask': 1.12064, 'lastTraded': None}","{'bid': 1.12062, 'ask': 1.12068, 'lastTraded': None}","{'bid': 1.1199, 'ask': 1.11999, 'lastTraded': None}",3889
39,2019/05/02 02:00:00,2019-05-02T01:00:00,"{'bid': 1.12059, 'ask': 1.12065, 'lastTraded': None}","{'bid': 1.12014, 'ask': 1.1202, 'lastTraded': None}","{'bid': 1.12091, 'ask': 1.12097, 'lastTraded': None}","{'bid': 1.11998, 'ask': 1.12004, 'lastTraded': None}",5934
40,2019/05/02 04:00:00,2019-05-02T03:00:00,"{'bid': 1.12013, 'ask': 1.12019, 'lastTraded': None}","{'bid': 1.12073, 'ask': 1.12079, 'lastTraded': None}","{'bid': 1.1209, 'ask': 1.12096, 'lastTraded': None}","{'bid': 1.12013, 'ask': 1.12019, 'lastTraded': None}",4613
41,2019/05/02 06:00:00,2019-05-02T05:00:00,"{'bid': 1.12074, 'ask': 1.1208, 'lastTraded': None}","{'bid': 1.1193, 'ask': 1.11936, 'lastTraded': None}","{'bid': 1.12084, 'ask': 1.1209, 'lastTraded': None}","{'bid': 1.11919, 'ask': 1.11925, 'lastTraded': None}",8222
42,2019/05/02 08:00:00,2019-05-02T07:00:00,"{'bid': 1.11929, 'ask': 1.11935, 'lastTraded': None}","{'bid': 1.12082, 'ask': 1.12088, 'lastTraded': None}","{'bid': 1.12189, 'ask': 1.12195, 'lastTraded': None}","{'bid': 1.11908, 'ask': 1.11914, 'lastTraded': None}",15803
43,2019/05/02 10:00:00,2019-05-02T09:00:00,"{'bid': 1.12079, 'ask': 1.12085, 'lastTraded': None}","{'bid': 1.12015, 'ask': 1.12021, 'lastTraded': None}","{'bid': 1.12131, 'ask': 1.12137, 'lastTraded': None}","{'bid': 1.11958, 'ask': 1.11964, 'lastTraded': None}",8612
44,2019/05/02 12:00:00,2019-05-02T11:00:00,"{'bid': 1.1201, 'ask': 1.12025, 'lastTraded': None}","{'bid': 1.11961, 'ask': 1.11967, 'lastTraded': None}","{'bid': 1.12116, 'ask': 1.12122, 'lastTraded': None}","{'bid': 1.1195, 'ask': 1.11959, 'lastTraded': None}",20953
45,2019/05/02 14:00:00,2019-05-02T13:00:00,"{'bid': 1.11962, 'ask': 1.11968, 'lastTraded': None}","{'bid': 1.11816, 'ask': 1.11822, 'lastTraded': None}","{'bid': 1.12019, 'ask': 1.12025, 'lastTraded': None}","{'bid': 1.11755, 'ask': 1.11761, 'lastTraded': None}",23141
46,2019/05/02 16:00:00,2019-05-02T15:00:00,"{'bid': 1.11815, 'ask': 1.11821, 'lastTraded': None}","{'bid': 1.11775, 'ask': 1.11781, 'lastTraded': None}","{'bid': 1.11845, 'ask': 1.11851, 'lastTraded': None}","{'bid': 1.11716, 'ask': 1.11722, 'lastTraded': None}",19205
47,2019/05/02 18:00:00,2019-05-02T17:00:00,"{'bid': 1.11778, 'ask': 1.11784, 'lastTraded': None}","{'bid': 1.11745, 'ask': 1.11751, 'lastTraded': None}","{'bid': 1.11807, 'ask': 1.11819, 'lastTraded': None}","{'bid': 1.11721, 'ask': 1.11727, 'lastTraded': None}",8019
48,2019/05/02 20:00:00,2019-05-02T19:00:00,"{'bid': 1.11744, 'ask': 1.1175, 'lastTraded': None}","{'bid': 1.11716, 'ask': 1.11731, 'lastTraded': None}","{'bid': 1.11777, 'ask': 1.11783, 'lastTraded': None}","{'bid': 1.11702, 'ask': 1.11711, 'lastTraded': None}",4878
49,2019/05/02 22:00:00,2019-05-02T21:00:00,"{'bid': 1.11715, 'ask': 1.1173, 'lastTraded': None}","{'bid': 1.11741, 'ask': 1.11756, 'lastTraded': None}","{'bid': 1.11754, 'ask': 1.11765, 'lastTraded': None}","{'bid': 1.11707, 'ask': 1.11723, 'lastTraded': None}",4528
50,2019/05/03 00:00:00,2019-05-02T23:00:00,"{'bid': 1.11744, 'ask': 1.1175, 'lastTraded': None}","{'bid': 1.11772, 'ask': 1.11778, 'lastTraded': None}","{'bid': 1.11774, 'ask': 1.1178, 'lastTraded': None}","{'bid': 1.11702, 'ask': 1.11708, 'lastTraded': None}",3534
51,2019/05/03 02:00:00,2019-05-03T01:00:00,"{'bid': 1.11773, 'ask': 1.11779, 'lastTraded': None}","{'bid': 1.11743, 'ask': 1.11749, 'lastTraded': None}","{'bid': 1.11773, 'ask': 1.11779, 'lastTraded': None}","{'bid': 1.11702, 'ask': 1.1171, 'lastTraded': None}",4377
52,2019/05/03 04:00:00,2019-05-03T03:00:00,"{'bid': 1.11744, 'ask': 1.1175, 'lastTraded': None}","{'bid': 1.11683, 'ask': 1.11689, 'lastTraded': None}","{'bid': 1.11758, 'ask': 1.11764, 'lastTraded': None}","{'bid': 1.11668, 'ask': 1.11674, 'lastTraded': None}",3294
