,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
41,2019/05/02 06:00:00,2019-05-02T05:00:00,"{'bid': 6.74038, 'ask': 6.74188, 'lastTraded': None}","{'bid': 6.74417, 'ask': 6.74567, 'lastTraded': None}","{'bid': 6.74577, 'ask': 6.74727, 'lastTraded': None}","{'bid': 6.73996, 'ask': 6.74146, 'lastTraded': None}",10636
42,2019/05/02 08:00:00,2019-05-02T07:00:00,"{'bid': 6.74418, 'ask': 6.74568, 'lastTraded': None}","{'bid': 6.73946, 'ask': 6.74096, 'lastTraded': None}","{'bid': 6.74418, 'ask': 6.74568, 'lastTraded': None}","{'bid': 6.73755, 'ask': 6.73905, 'lastTraded': None}",11895
43,2019/05/02 10:00:00,2019-05-02T09:00:00,"{'bid': 6.73945, 'ask': 6.74095, 'lastTraded': None}","{'bid': 6.73844, 'ask': 6.73994, 'lastTraded': None}","{'bid': 6.74014, 'ask': 6.74164, 'lastTraded': None}","{'bid': 6.73699, 'ask': 6.73849, 'lastTraded': None}",8792
44,2019/05/02 12:00:00,2019-05-02T11:00:00,"{'bid': 6.73848, 'ask': 6.73998, 'lastTraded': None}","{'bid': 6.74351, 'ask': 6.74501, 'lastTraded': None}","{'bid': 6.74365, 'ask': 6.74515, 'lastTraded': None}","{'bid': 6.73578, 'ask': 6.73728, 'lastTraded': None}",11676
45,2019/05/02 14:00:00,2019-05-02T13:00:00,"{'bid': 6.74349, 'ask': 6.74499, 'lastTraded': None}","{'bid': 6.74545, 'ask': 6.74695, 'lastTraded': None}","{'bid': 6.74553, 'ask': 6.74703, 'lastTraded': None}","{'bid': 6.7423, 'ask': 6.7438, 'lastTraded': None}",15033
46,2019/05/02 16:00:00,2019-05-02T15:00:00,"{'bid': 6.74544, 'ask': 6.74694, 'lastTraded': None}","{'bid': 6.74658, 'ask': 6.74808, 'lastTraded': None}","{'bid': 6.74716, 'ask': 6.74866, 'lastTraded': None}","{'bid': 6.74223, 'ask': 6.74373, 'lastTraded': None}",13732
47,2019/05/02 18:00:00,2019-05-02T17:00:00,"{'bid': 6.74659, 'ask': 6.74809, 'lastTraded': None}","{'bid': 6.74617, 'ask': 6.74767, 'lastTraded': None}","{'bid': 6.74726, 'ask': 6.74866, 'lastTraded': None}","{'bid': 6.74455, 'ask': 6.74605, 'lastTraded': None}",9249
48,2019/05/02 20:00:00,2019-05-02T19:00:00,"{'bid': 6.74619, 'ask': 6.74769, 'lastTraded': None}","{'bid': 6.74324, 'ask': 6.74816, 'lastTraded': None}","{'bid': 6.74718, 'ask': 6.74868, 'lastTraded': None}","{'bid': 6.74324, 'ask': 6.7464, 'lastTraded': None}",5641
49,2019/05/02 22:00:00,2019-05-02T21:00:00,"{'bid': 6.74319, 'ask': 6.74821, 'lastTraded': None}","{'bid': 6.74553, 'ask': 6.74703, 'lastTraded': None}","{'bid': 6.74621, 'ask': 6.7489, 'lastTraded': None}","{'bid': 6.74159, 'ask': 6.74425, 'lastTraded': None}",4758
50,2019/05/03 00:00:00,2019-05-02T23:00:00,"{'bid': 6.74554, 'ask': 6.74704, 'lastTraded': None}","{'bid': 6.74349, 'ask': 6.74499, 'lastTraded': None}","{'bid': 6.7473, 'ask': 6.7488, 'lastTraded': None}","{'bid': 6.74327, 'ask': 6.74477, 'lastTraded': None}",6328
51,2019/05/03 02:00:00,2019-05-03T01:00:00,"{'bid': 6.74347, 'ask': 6.74497, 'lastTraded': None}","{'bid': 6.74335, 'ask': 6.74485, 'lastTraded': None}","{'bid': 6.74719, 'ask': 6.74869, 'lastTraded': None}","{'bid': 6.74206, 'ask': 6.74356, 'lastTraded': None}",8458
52,2019/05/03 04:00:00,2019-05-03T03:00:00,"{'bid': 6.74342, 'ask': 6.74492, 'lastTraded': None}","{'bid': 6.74302, 'ask': 6.74452, 'lastTraded': None}","{'bid': 6.74415, 'ask': 6.74538, 'lastTraded': None}","{'bid': 6.74067, 'ask': 6.74217, 'lastTraded': None}",5228
53,2019/05/03 06:00:00,2019-05-03T05:00:00,"{'bid': 6.74309, 'ask': 6.74459, 'lastTraded': None}","{'bid': 6.74469, 'ask': 6.74619, 'lastTraded': None}","{'bid': 6.74516, 'ask': 6.74666, 'lastTraded': None}","{'bid': 6.74013, 'ask': 6.74163, 'lastTraded': None}",8765
54,2019/05/03 08:00:00,2019-05-03T07:00:00,"{'bid': 6.7446, 'ask': 6.7461, 'lastTraded': None}","{'bid': 6.7419, 'ask': 6.7434, 'lastTraded': None}","{'bid': 6.74584, 'ask': 6.74733, 'lastTraded': None}","{'bid': 6.7416, 'ask': 6.7431, 'lastTraded': None}",11514
55,2019/05/03 10:00:00,2019-05-03T09:00:00,"{'bid': 6.74188, 'ask': 6.74338, 'lastTraded': None}","{'bid': 6.74632, 'ask': 6.74782, 'lastTraded': None}","{'bid': 6.74679, 'ask': 6.74829, 'lastTraded': None}","{'bid': 6.74186, 'ask': 6.74336, 'lastTraded': None}",9017
56,2019/05/03 12:00:00,2019-05-03T11:00:00,"{'bid': 6.74634, 'ask': 6.74784, 'lastTraded': None}","{'bid': 6.74261, 'ask': 6.74411, 'lastTraded': None}","{'bid': 6.75058, 'ask': 6.75218, 'lastTraded': None}","{'bid': 6.74249, 'ask': 6.74399, 'lastTraded': None}",13213
57,2019/05/03 14:00:00,2019-05-03T13:00:00,"{'bid': 6.7426, 'ask': 6.7441, 'lastTraded': None}","{'bid': 6.73634, 'ask': 6.73784, 'lastTraded': None}","{'bid': 6.74419, 'ask': 6.74569, 'lastTraded': None}","{'bid': 6.73543, 'ask': 6.73693, 'lastTraded': None}",18929
58,2019/05/03 16:00:00,2019-05-03T15:00:00,"{'bid': 6.7363, 'ask': 6.7378, 'lastTraded': None}","{'bid': 6.73692, 'ask': 6.73842, 'lastTraded': None}","{'bid': 6.73924, 'ask': 6.74074, 'lastTraded': None}","{'bid': 6.73447, 'ask': 6.73597, 'lastTraded': None}",13209
59,2019/05/03 18:00:00,2019-05-03T17:00:00,"{'bid': 6.73674, 'ask': 6.73824, 'lastTraded': None}","{'bid': 6.73708, 'ask': 6.73858, 'lastTraded': None}","{'bid': 6.7385, 'ask': 6.74, 'lastTraded': None}","{'bid': 6.73554, 'ask': 6.73704, 'lastTraded': None}",8906
60,2019/05/03 20:00:00,2019-05-03T19:00:00,"{'bid': 6.73707, 'ask': 6.73857, 'lastTraded': None}","{'bid': 6.73278, 'ask': 6.73525, 'lastTraded': None}","{'bid': 6.73748, 'ask': 6.73898, 'lastTraded': None}","{'bid': 6.7323, 'ask': 6.73412, 'lastTraded': None}",7406
61,2019/05/05 20:00:00,2019-05-05T19:00:00,"{'bid': 6.78255, 'ask': 6.78825, 'lastTraded': None}","{'bid': 6.78462, 'ask': 6.78771, 'lastTraded': None}","{'bid': 6.78587, 'ask': 6.7884, 'lastTraded': None}","{'bid': 6.7814, 'ask': 6.78501, 'lastTraded': None}",465
62,2019/05/05 22:00:00,2019-05-05T21:00:00,"{'bid': 6.78473, 'ask': 6.78741, 'lastTraded': None}","{'bid': 6.78156, 'ask': 6.78306, 'lastTraded': None}","{'bid': 6.792, 'ask': 6.7977, 'lastTraded': None}","{'bid': 6.77916, 'ask': 6.78203, 'lastTraded': None}",6104
63,2019/05/06 00:00:00,2019-05-05T23:00:00,"{'bid': 6.78185, 'ask': 6.78335, 'lastTraded': None}","{'bid': 6.81625, 'ask': 6.81775, 'lastTraded': None}","{'bid': 6.82135, 'ask': 6.82285, 'lastTraded': None}","{'bid': 6.77912, 'ask': 6.78062, 'lastTraded': None}",17575
64,2019/05/06 02:00:00,2019-05-06T01:00:00,"{'bid': 6.81651, 'ask': 6.81801, 'lastTraded': None}","{'bid': 6.80129, 'ask': 6.80279, 'lastTraded': None}","{'bid': 6.81841, 'ask': 6.81991, 'lastTraded': None}","{'bid': 6.79374, 'ask': 6.79524, 'lastTraded': None}",19590
65,2019/05/06 04:00:00,2019-05-06T03:00:00,"{'bid': 6.80107, 'ask': 6.80257, 'lastTraded': None}","{'bid': 6.79159, 'ask': 6.79309, 'lastTraded': None}","{'bid': 6.8037, 'ask': 6.8052, 'lastTraded': None}","{'bid': 6.79099, 'ask': 6.79237, 'lastTraded': None}",11202
